name,poster_url,active
V,eb93d1e93aca0097973cc3d7ee660312.jpg,1
Mingyu,image.png,1
Jungkook,4f08035fff3998e39ca46080e221c638.png,1
Felix,378f5fa58aaaa65a2e9ce516bbd2184f.jpg,1
Heeseung,604b7f8221a4aaed908d62398a6a4513.png,1
Jeonghan,d1d3143801936451af1e9d6c67b60c39.png,1
Jackson Wang,5b9b3dcf0699282cac7e8c7f3c1546ae.png,1
Ningning,Ningning.png,1
Jennie,abfbb2149c13d8843838aa176dc0e300.png,1
Zhang Hao,Zhang Hao.png,1
S.Coups,ebc46ff8d9b74b5e4a9f132d2d414cf6.png,1
Cha Eun-woo,be146d7b26ee0c75d1692b961907e8db.png,1
Jaemin,jaemin.png,1
Yeonjun,Yeonjun.png,1
Lisa,3654973535acc009c8257c23cc34ff17.png,1
Wonbin,Wonbin.png,1
Jaehyun,Jaehyun.png,1
Karina,Karina.png,1
Suga,97d7cea2e7a7d7c02f4fdf3703634ed7.png,1
Bang Chan,5d48a6a7a5880ebbdac658cf66755082.png,1
Jimin,Jimin.png,1
Yuqi,yuqi.png,1
Hyunjin,Hyunjin.png,1
Wonwoo,Wonwoo.png,1
The8,image.png,1
Sehun,sehun.png,1
DK,04ed42693515a5676bb40ce042d82596.jpg,1
Joshua,a784f07e0539712ed3691a4d903f2b94.png,1
Rosé,73dd3e602c75f1535a3495ad3e125a9c.jpg,1
Jisoo,Jisoo.png,1
Momo,Momo.png,1
Sana,Sana.png,1
Jihyo,Jihyo.png,1
Mina,Mina.png,1
Sunghoon,sunghoon.png,1
Sakura,Sakura.png,1
Hoshi,Hoshi.png,1
Soobin,soobin.png,1
James,James.png,1
Chanyeol,chanyeol.png,1
Han Yujin,Han Yujin.png,1
RM,RM.png,1
Jin,Jin.png,1
J-Hope,J-Hope.png,1
Moonni,Moonni.png,1
Lee Know,李旻浩 Lee know.png,1
Han,han.png,1
Seungmin,Seungmin.png,1
I.N,in liang.png,1
Jungwon,Jungwon.png,1
Jay,Jay.png,1
Jake,Jake.png,1
Sunoo,Sunoo.png,1
Ni-ki,Ni-ki.png,1
Jun,1ab6d05f5630c4b3ffb2ee662b1653f1.jpg,1
Woozi,Woozi.png,1
Seungkwan,Seungkwan.png,1
Vernon,Vernon.png,1
Dino,Dino.png,1
Beomgyu,Beomgyu.png,1
Taehyun,Taehyun.png,1
Hongjoong,Hongjoong.png,1
Yunho,Yunho.png,1
San,Choi San.png,1
Wooyoung,Wooyoung.png,1
Huening Kai,Huening Kai.png,1
Seonghwa,Seonghwa .png,1
Yeosang,Yeosang.png,1
Mingi,Mingi .png,1
Jongho,Jongho.png,1
Sungho,Sungho.png,1
Riwoo,Riwoo.png,1
Taesan,Taesan.png,1
Leehan,Leehan.png,1
WoonHak,Woonhak.png,1
Shotaro,Shotaro .png,1
Eunseok,Eunseok.png,1
Sungchan,Sungchan.png,1
Sohee,李炤熙 sohee.png,1
Chanyoung,Chanyoung.png,1
Martin,Martin.png,1
Manon,Manon.png,1
Keonho,Keonho.png,1
Sophia,Sophia.png,1
Juhoon,juhoon.png,1
Daniela,Daniela.png,1
Seonghyeon,Seonghyeon.png,1
Lara,Lara.png,1
Baekhyun,Baekhyun.png,1
Megan,Megan.png,1
Hanjin,Hanjin.png,1
Shinyu,Shinyu.png,1
Sion,Sion.png,1
Yoonchae,Yoonchae.png,1
Jisung,jisung.png,1
Yushi,yushi  new.png,1
Sakuya,sakuya.png,1
Nayeon,Nayeon.png,1
Jeongyeon,Jeongyeon.png,1
Dahyun,Dahyun.png,1
Chaeyoung,Chaeyoung.png,1
Mark Lee,Mark Lee.png,1
Minji,Minji.png,1
Hanni,hanni.png,1
Danielle,dan.png,1
Doyoung,Doyoung.png,1
Haerin,Haerin.png,1
Hyein,hyein.png,1
Chaewon,Chaewon.png,1
Yunjin,yunjin.png,1
Kazuha,kazuha.png,1
Eunchae,Eunchae.png,1
Giselle,Giselle.png,1
Winter,Winter.png,1
Soyeon,小娟.png,1
Miyeon,Miyeon.png,1
Minnie,Minnie.png,1
Changbin,Changbin.png,1
Shuhua,叶舒华.png,1
Jaehyun (NCT),Jaehyun (NCT).png,1
Kim Yugyeom,Kim Yugyeom.png,1
Tzuyu,Tzuyu.png,1
Meguro Ren,目黒蓮.png,1
